ensembl_gene_id,entrezgene_id,external_gene_name,uniprot_gn_symbol
ENSG00000092850,27285,TEKT2,TEKT2
ENSG00000092853,63967,CLSPN,CLSPN
ENSG00000092969,7042,TGFB2,TGFB2
ENSG00000092978,55105,GPATCH2,GPATCH2
ENSG00000094963,2327,FMO2,FMO2
ENSG00000094975,51430,SUCO,C1orf9
ENSG00000097021,11332,ACOT7,ACOT7
ENSG00000097033,51100,SH3GLB1,SH3GLB1
ENSG00000097046,8317,CDC7,CDC7
ENSG00000097096,84144,SYDE2,SYDE2
ENSG00000099260,54873,PALMD,PALMD
ENSG00000107404,1855,DVL1,DVL1
ENSG00000116128,607,BCL9,BCL9
ENSG00000116132,5396,PRRX1,PRRX1
ENSG00000116133,1718,DHCR24,DHCR24
ENSG00000116138,23341,DNAJC16,DNAJC16
ENSG00000116141,4139,MARK1,MARK1
ENSG00000116147,7143,TNR,TNR
ENSG00000116151,79906,MORN1,MORN1
ENSG00000116157,2882,GPX7,GPX7
ENSG00000116161,27101,CACYBP,CACYBP
ENSG00000116171,6342,SCP2,SCP2
ENSG00000116183,60676,PAPPA2,PAPPA2
ENSG00000116191,55103,RALGPS2,RALGPS2
ENSG00000116194,9068,ANGPTL1,ANGPTL1
ENSG00000116198,9731,CEP104,CEP104
ENSG00000116199,9917,FAM20B,FAM20B
ENSG00000116205,127428,TCEANC2,TCEANC2
ENSG00000116209,9528,TMEM59,TMEM59
ENSG00000116212,115353,LRRC42,LRRC42
ENSG00000116213,49856,WRAP73,WRAP73
ENSG00000116218,7827,NPHS2,NPHS2
ENSG00000116221,51253,MRPL37,MRPL37
ENSG00000116237,23463,ICMT,ICMT
ENSG00000116251,6146,RPL22,RPL22
ENSG00000116254,26038,CHD5,CHD5
ENSG00000116260,5768,QSOX1,QSOX1
ENSG00000116266,6814,STXBP3,STXBP3
ENSG00000116273,148479,PHF13,SPOC1
ENSG00000116285,54206,ERRFI1,ERRFI1
ENSG00000116288,11315,PARK7,PARK7
ENSG00000116299,57535,ELAPOR1,ELAPOR1
ENSG00000116329,4985,OPRD1,OPRD1
ENSG00000116337,271,AMPD2,AMPD2
ENSG00000116350,6429,SRSF4,SRSF4
ENSG00000116353,51102,MECR,MECR
ENSG00000116396,3749,KCNC4,KCNC4
ENSG00000116406,80267,EDEM3,EDEM3
ENSG00000116455,79084,WDR77,WDR77
ENSG00000116459,515,ATP5PB,ATP5PB
ENSG00000116473,5906,RAP1A,RAP1A
ENSG00000116478,3065,HDAC1,HDAC1
ENSG00000116489,829,CAPZA1,CAPZA1
ENSG00000116497,64766,S100PBP,S100PBP
ENSG00000116514,127544,RNF19B,RNF19B
ENSG00000116521,10067,SCAMP3,SCAMP3
ENSG00000116525,55223,TRIM62,TRIM62
ENSG00000116539,55870,ASH1L,ASH1L
ENSG00000116544,58512,DLGAP3,DLGAP3
ENSG00000116560,6421,SFPQ,SFPQ
ENSG00000116574,58480,RHOU,RHOU
ENSG00000116580,54856,GON4L,GON4L
ENSG00000116584,9181,ARHGEF2,ARHGEF2
ENSG00000116586,28956,LAMTOR2,LAMTOR2
ENSG00000116604,4209,MEF2D,MEF2D
ENSG00000116641,85440,DOCK7,DOCK7
ENSG00000116649,6723,SRM,SRM
ENSG00000116661,26232,FBXO2,FBXO2
ENSG00000116663,26270,FBXO6,FBXO6
ENSG00000116667,81563,C1orf21,C1orf21
ENSG00000116668,54823,SWT1,SWT1
ENSG00000116670,10459,MAD2L2,MAD2L2
ENSG00000116675,9829,DNAJC6,DNAJC6
ENSG00000116678,3953,LEPR,LEPR
ENSG00000116679,10625,IVNS1ABP,IVNS1ABP
ENSG00000116685,90231,KIAA2013,KIAA2013
ENSG00000116688,9927,MFN2,MFN2
ENSG00000116690,10216,PRG4,PRG4
ENSG00000116691,60672,MIIP,MIIP
ENSG00000116698,9887,SMG7,SMG7
ENSG00000116701,4688,NCF2,NCF2
ENSG00000116703,5132,PDC,PDC
ENSG00000116704,23169,SLC35D1,SLC35D1
ENSG00000116711,5321,PLA2G4A,PLA2G4A
ENSG00000116717,1647,GADD45A,GADD45A
ENSG00000116721,65121,PRAMEF1,PRAMEF1
ENSG00000116726,390999,PRAMEF12,PRAMEF12
ENSG00000116729,79971,WLS,WLS
ENSG00000116731,7799,PRDM2,PRDM2
ENSG00000116741,5997,RGS2,RGS2
ENSG00000116745,6121,RPE65,RPE65
ENSG00000116747,6738,RO60,RO60
ENSG00000116748,270,AMPD1,AMPD1
ENSG00000116750,51377,UCHL5,UCHL5
ENSG00000116752,10286,BCAS2,BCAS2
ENSG00000116754,9295,SRSF11,SRSF11
ENSG00000116761,1491,CTH,CTH
ENSG00000116771,79814,AGMAT,AGMAT
ENSG00000116774,56944,OLFML3,OLFML3
ENSG00000116783,51086,TNNI3K,TNNI3K
ENSG00000116785,10878,CFHR3,CFHR3
ENSG00000116786,23207,PLEKHM2,PLEKHM2
ENSG00000116791,1429,CRYZ,CRYZ
ENSG00000116793,10745,PHTF1,PHTF1
ENSG00000116809,7709,ZBTB17,ZBTB17
ENSG00000116815,965,CD58,CD58
ENSG00000116819,339488,TFAP2E,TFAP2E
ENSG00000116824,914,CD2,CD2
ENSG00000116830,8458,TTF2,TTF2
ENSG00000116833,2494,NR5A2,NR5A2
ENSG00000116852,23046,KIF21B,KIF21B
ENSG00000116857,252839,TMEM9,TMEM9
ENSG00000116863,54936,ADPRS,ADPRS
ENSG00000116871,55700,MAP7D1,MAP7D1
ENSG00000116874,10352,WARS2,WARS2
ENSG00000116882,51179,HAO2,HAO2
ENSG00000116885,127700,OSCP1,OSCP1
